x
83
80
76
79
81
69
78
87
72
84
73
85
76
79
75
65
77
89
83
70
90
82
79
88
88
86
84
81
74
70
92
73
80
80
87
81
77
74
66
68
71
78
85
78
82
75
71
77
86
74
